Player,careers,Pos,Tm,G,PER,GS,MP,TS,OWS,DWS,WS,BPM,FG,P2,P3,year_start,year_end,height,weight,birth_date,year_active,age_start,age_end,churn
Antoine Carr,15,PF,HOU,960,14.1,164,19942,0.5,1.5,1.3,2.9,-0.9,0.5,0.5,0.1,1985,2000,6-9,225,1961,16,24,39,0
Antoine Rigaudeau,1,SG,DAL,11,-2.4,0,91,0.2,-0.4,0.1,-0.4,-11.3,0.2,0.2,0.2,2003,2003,6-7,210,1971,1,32,32,1
Antoine Walker,14,PF,MIN,970,15.4,784,34486,0.5,0.3,2.5,2.8,0.3,0.4,0.5,0.3,1997,2008,6-8,224,1976,12,21,32,0
Antoine Wright,8,SG,SAC,353,5.9,106,6946,0.4,-0.1,0.5,0.5,-4.7,0.4,0.4,0.3,2006,2011,6-7,210,1984,6,22,27,1
Antonio Burks,2,PG,MEM,81,9.0,1,789,0.5,-0.5,0.5,0.0,-5.4,0.4,0.4,0.2,2005,2006,6-1,200,1980,2,25,26,1
Antonio Daniels,15,PG,PHI,946,13.7,229,20692,0.5,2.5,0.8,3.2,-2.1,0.4,0.5,0.3,1998,2011,6-4,195,1975,14,23,36,0
Antonio Davis,8,PF,NYK,562,13.3,282,15746,0.5,2.3,2.4,4.8,-0.8,0.5,0.5,0.1,1994,2006,6-9,215,1968,13,26,38,0
Antonio Harvey,3,PF,VAN,132,9.6,29,1803,0.4,-0.6,0.7,0.1,-5.0,0.4,0.4,0.3,1994,2003,6-11,225,1970,10,24,33,0
Antonio Lang,2,PF,CLE,105,9.8,1,1210,0.5,-0.2,1.0,0.8,-2.7,0.5,0.5,0.0,1995,2000,6-8,205,1972,6,23,28,1
Antonio McDyess,10,PF,SAS,749,16.4,512,20740,0.5,2.0,2.8,4.8,0.1,0.5,0.5,0.0,1996,2011,6-9,220,1974,16,22,37,0
Antonis Fotsis,1,PF,MEM,28,11.3,1,320,0.5,-0.1,0.2,0.1,-4.9,0.4,0.4,0.3,2002,2002,6-10,219,1981,1,21,21,1
Archie Goodwin,6,SG,BRK,180,14.9,15,2610,0.6,0.1,0.3,0.3,-2.8,0.5,0.5,0.3,2014,2017,6-5,200,1994,4,20,23,1
